,lantaarnpaal_nummer,scheefstand,scheefstand_tov_kader,lat_x,lon_x,verschil_scheefstand_WP_kader
0,HOUTEN01,2.700000000000003,3.0112808703,52.015177,5.179014,-0.31128087029999696
1,HOUTEN02,-3.299999999999997,-2.0065389333,52.019045,5.172383,-1.2934610666999973
2,HOUTEN03,-3.200000000000003,-1.9778970237,52.020808,5.16848,-1.2221029763000029
3,HOUTEN04,2.299999999999997,3.0112808703,52.020858,5.167715,-0.7112808703000026
4,HOUTEN05,0.7999999999999972,0.0,52.020989,5.167592,0.7999999999999972
5,HOUTEN06,-0.29999999999999716,0.0,52.020498,5.166822,-0.29999999999999716
6,HOUTEN07,0.5,1.003075239,52.019759,5.166556,-0.503075239
7,HOUTEN08,-3.0999999999999943,-2.007542888,52.018,5.165741,-1.0924571119999942
8,HOUTEN09,2.0,0.0,52.017422,5.165186,2.0
9,HOUTEN10,1.9000000000000057,0.0,52.017659,5.1659,1.9000000000000057
10,HOUTEN11,-1.9000000000000057,-1.003075239,52.017135,5.16733,-0.8969247610000057
11,HOUTEN12,3.299999999999997,1.003075239,52.016915,5.167818,2.296924760999997
12,HOUTEN13,-1.0,0.0,52.016231,5.169251,-1.0
13,HOUTEN14,-0.5999999999999943,0.0,52.019279,5.172154,-0.5999999999999943
14,HOUTEN15,0.5999999999999943,2.0065389333,52.015612,5.170018,-1.4065389333000056
15,HOUTEN16,4.5,3.0097757412,52.01515,5.170859,1.4902242588
16,HOUTEN17,-2.9000000000000057,-3.9875880959,52.015154,5.171879,1.0875880958999944
17,HOUTEN18,0.7999999999999972,0.0,52.015275,5.17218,0.7999999999999972
18,HOUTEN19,-2.9000000000000057,-2.007542888,52.015366,5.173309,-0.8924571120000055
19,HOUTEN20,-5.200000000000003,-3.9875880959,52.015594,5.175002,-1.2124119041000028
20,HOUTEN21,3.5999999999999943,4.0161822366,52.015581,5.176192,-0.4161822366000054
21,HOUTEN22,0.5,1.003075239,52.015379,5.175968,-0.503075239
22,HOUTEN23,-2.0999999999999943,-1.003075239,52.015203,5.176252,-1.0969247609999944
23,HOUTEN24,1.0,0.0,52.014964,5.176544,1.0
24,HOUTEN25,2.0,3.0097757412,52.014793,5.176662,-1.0097757412
25,HOUTEN26,0.7999999999999972,2.0065389333,52.014595,5.176949,-1.2065389333000027
26,HOUTEN27,0.09999999999999432,1.003075239,52.014638,5.17902,-0.9030752390000056
27,HOUTEN28,0.5,1.003075239,52.014582,5.178905,-0.503075239
28,HOUTEN29,1.7000000000000028,0.0,52.01452,5.178885,1.7000000000000028
29,HOUTEN30,2.0,3.0112808703,52.013502,5.179378,-1.0112808702999998
30,HOUTEN31,-3.0999999999999943,-2.0065389333,52.013646,5.179095,-1.0934610666999944
31,HOUTEN32,0.9000000000000057,2.007542888,52.013437,5.178907,-1.1075428879999945
32,HOUTEN33,2.700000000000003,0.0,52.012908,5.177762,2.700000000000003
33,HOUTEN34,0.7000000000000028,2.0065389333,52.013712,5.177035,-1.306538933299997
34,HOUTEN35,3.700000000000003,4.0161822366,52.013956,5.1767775,-0.3161822365999969
35,HOUTEN36,2.9000000000000057,4.0161822366,52.0143332,5.175888,-1.116182236599994
36,HOUTEN37,1.2000000000000028,2.007542888,52.014823,5.175219,-0.8075428879999973
37,HOUTEN38,2.5,3.0112808703,52.015049,5.174863,-0.5112808702999998
38,HOUTEN39,1.0999999999999943,0.0,52.015212,5.174152,1.0999999999999943
39,HOUTEN40,0.0,1.003075239,52.014767,5.173091,-1.003075239
40,HOUTEN41,-0.29999999999999716,0.0,52.014729,5.173234,-0.29999999999999716
41,HOUTEN42,0.5,1.003577176,52.014504,5.173588,-0.5035771760000001
42,HOUTEN43,-5.799999999999997,-4.9945758101,52.011933,5.180093,-0.8054241898999974
43,HOUTEN44,3.0999999999999943,2.9826540371,52.010898,5.181837,0.11734596289999422
44,HOUTEN45,-2.200000000000003,-1.003075239,52.010679,5.180478,-1.196924761000003
45,HOUTEN46,3.299999999999997,3.0112808703,52.011461,5.180009,0.28871912969999736
46,HOUTEN47,2.0999999999999943,3.0097757412,52.011323,5.178736,-0.9097757412000056
47,HOUTEN48,0.09999999999999432,2.0065389333,52.010386,5.179142,-1.9065389333000056
48,HOUTEN49,0.09999999999999432,0.0,52.010241,5.17722,0.09999999999999432
49,HOUTEN50,0.20000000000000284,1.003075239,52.012224,5.176204,-0.8030752389999971
50,HOUTEN51,0.09999999999999432,1.003577176,52.011081,5.174702,-0.9035771760000058
51,HOUTEN52,2.0999999999999943,3.0112808703,52.010655,5.174969,-0.9112808703000055
52,HOUTEN53,0.9000000000000057,0.0,52.010068,5.174349,0.9000000000000057
53,HOUTEN54,-4.200000000000003,-2.9826540371,52.009415,5.173551,-1.2173459629000027
54,HOUTEN55,0.09999999999999432,1.003075239,52.009901,5.175176,-0.9030752390000056
55,HOUTEN56,2.200000000000003,3.0112808703,52.009885,5.176326,-0.811280870299997
56,HOUTEN57,0.29999999999999716,0.0,52.009051,5.17551,0.29999999999999716
57,HOUTEN58,0.5,1.9788866706,52.009803,5.17244,-1.4788866706
58,HOUTEN59,0.20000000000000284,1.003075239,52.010508,5.173601,-0.8030752389999971
59,HOUTEN60,0.20000000000000284,0.0,52.011156,5.173158,0.20000000000000284
60,HOUTEN61,0.7999999999999972,2.0065389333,52.011744,5.172159,-1.2065389333000027
61,HOUTEN62,-2.4000000000000057,-1.003075239,52.011162,5.170205,-1.3969247610000057
62,HOUTEN63,2.299999999999997,1.9788866706,52.011139,5.168114,0.32111332939999726
63,HOUTEN64,0.29999999999999716,1.003075239,52.011564,5.169515,-0.7030752390000028
64,HOUTEN65,0.4000000000000057,1.003577176,52.012077,5.168594,-0.6035771759999944
65,HOUTEN66,0.09999999999999432,1.003075239,52.013074,5.169452,-0.9030752390000056
66,HOUTEN67,-1.0999999999999943,0.0,52.014491,5.168524,-1.0999999999999943
67,HOUTEN68,-4.400000000000006,-3.9875880959,52.014606,5.167545,-0.4124119041000056
68,HOUTEN69,15.799999999999997,16.9656832077,52.014279,5.167442,-1.1656832077000026
69,HOUTEN70,0.5,1.003075239,52.013478,5.166618,-0.503075239
70,HOUTEN71,-5.200000000000003,-3.9875880959,52.014222,5.166446,-1.2124119041000028
71,HOUTEN72,-6.400000000000006,-6.0015045462,52.014532,5.166218,-0.39849545380000606
72,HOUTEN73,0.7000000000000028,1.003075239,52.01417,5.164687,-0.3030752389999971
73,HOUTEN74,1.7000000000000028,3.0112808703,52.014616,5.164154,-1.311280870299997
74,HOUTEN75,1.5999999999999943,2.0065389333,52.01624,5.164172,-0.40653893330000557
75,HOUTEN76,0.5999999999999943,1.9788866706,52.016079,5.165263,-1.3788866706000056
76,HOUTEN77,0.7000000000000028,1.003075239,52.016569,5.166146,-0.3030752389999971
77,HOUTEN78,0.09999999999999432,0.0,52.017036,5.163207,0.09999999999999432
78,HOUTEN79,0.9000000000000057,1.003075239,52.017575,5.161694,-0.10307523899999427
79,HOUTEN80,0.29999999999999716,1.003075239,52.016643,5.160841,-0.7030752390000028
80,HOUTEN81,0.7999999999999972,1.003075239,52.016228,5.162689,-0.2030752390000028
81,HOUTEN82,0.0,0.0,52.015598,5.160219,0.0
82,HOUTEN83,2.0,3.0097757412,52.015162,5.160492,-1.0097757412
83,HOUTEN84,0.7000000000000028,0.0,52.014561,5.163312,0.7000000000000028
84,HOUTEN85,1.0,1.003075239,52.01405,5.163219,-0.003075238999999952
85,HOUTEN86,0.29999999999999716,1.003075239,52.013033,5.162353,-0.7030752390000028
86,HOUTEN87,3.0999999999999943,4.0161822366,52.012884,5.161604,-0.9161822366000054
87,HOUTEN88,2.5,3.0097757412,52.0126,5.16098,-0.5097757411999999
88,HOUTEN89,-3.0,-2.0065389333,52.012793,5.160334,-0.9934610667000001
89,HOUTEN90,-2.0999999999999943,-2.0065389333,52.01276,5.16275,-0.09346106669999443
90,HOUTEN91,0.5,1.003075239,52.013556,5.164007,-0.503075239
91,HOUTEN92,0.20000000000000284,0.0,52.01282,5.1656,0.20000000000000284
92,HOUTEN93,0.5,1.003577176,52.017534,5.176937,-0.5035771760000001
93,HOUTEN94,0.5,1.003075239,52.017647,5.175505,-0.503075239
94,HOUTEN95,-1.0,0.0,52.01795,5.173878,-1.0
95,HOUTEN96,0.9000000000000057,0.0,52.018703,5.173838,0.9000000000000057
96,HOUTEN97,0.29999999999999716,1.003075239,52.019074,5.174258,-0.7030752390000028
97,HOUTEN98,0.7000000000000028,1.003075239,52.019614,5.174271,-0.3030752389999971
98,HOUTEN99,0.7000000000000028,0.0,52.01952,5.17215,0.7000000000000028
99,HOUTEN100,0.20000000000000284,0.0,52.019605,5.171955,0.20000000000000284
